,,9-Feb,9-Apr,9-Jun,9-Aug,9-Oct,9-Dec,10-Feb,10-Apr,10-Jun,10-Aug,10-Oct,10-Dec,11-Feb,11-Apr,11-Jun,11-Aug,11-Oct,11-Dec,12-Feb,12-Apr,12-Jun,12-Aug,12-Oct,12-Dec
膜翅目,廣腹細蜂科,,,31,12,,,,,19,7,1,,,,17,16,5,,,,3,15,3,
膜翅目,大痣細蜂科,,,,,1,,,,2,1,,,,,,,,,,,,,,
膜翅目,細蜂科,,,,,,,,,,,,,,,,,1,,,,,,,
膜翅目,卵細蜂科,,,,,,,,2,10,3,2,3,,1,4,4,,,,,1,,4,3
膜翅目,柄腹細蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,小蜂總科,,,,7,3,,,,,,,,,,,,,,,,,,,
膜翅目,小蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,細翅寄生小蜂科,2,,1,,,1,1,2,17,2,7,4,2,1,,6,4,2,,1,3,1,15,1
膜翅目,異卵蜂科,,,,,,,,,,,,,,,1,,,,,,,,,
膜翅目,長痣小蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,金小蜂科,1,20,8,5,12,,3,25,41,17,11,9,7,19,9,18,2,4,3,7,4,4,7,
膜翅目,廣肩小蜂科,,,8,11,1,,,,5,27,,,,,1,44,2,,,,1,12,1,
膜翅目,扁股小蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,四節小蜂科,,,,,,1,,,,,,,,,,,,,,,,,,
膜翅目,刻腹小蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,跳小蜂科,1,,19,3,8,,,3,5,14,,1,,1,17,6,14,,,,1,4,2,
膜翅目,旋小蜂科,,,,,,,,,1,1,3,2,,,,,,,,,,,,
膜翅目,釉小蜂科,4,,47,28,16,,,,60,129,15,8,,1,26,109,16,2,1,,7,11,16,
膜翅目,蚜小蜂科,,,,,,,,,,2,,,,,,1,,1,,,,,1,
膜翅目,長尾小蜂科,,,2,,,,,,8,2,,,,,,6,,,,,2,,,
膜翅目,榕小蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,癭蜂總科,,,,,,,,,1,,,1,,,,,,,,,1,1,,
膜翅目,癭蜂科,,2,2,,,,,,,,,,,,,,,,,,,,,
膜翅目,隆盾癭蜂科,,,,,,,,,2,6,,,,,,2,,,,,,5,,
膜翅目,環腹癭蜂科,,,,,,,,,1,2,1,,,,1,,1,,,,,2,2,
膜翅目,長背癭蜂科,,,,,,,,,,1,1,,,,,,,,,,,,,
膜翅目,蟻科,,,5,14,36,,,4,16,28,3,,,,7,12,9,,,1,5,4,5,1
膜翅目,卵寄生小蜂科,,,1,,,,,5,2,1,,2,,2,7,2,,1,,,,,,
膜翅目,寄生樹蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,短節蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,舉尾蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,泥蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,莖蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,毛角土蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,鞘蜂科,,,1,,,,,,,,,,,,,,,,,,,,,
膜翅目,螫蜂科,,,1,,,,,,,1,2,,,,,1,5,,,,1,,1,
膜翅目,梨頭蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,胡蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,蜜蜂總科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,蜜蜂科,,,,,,,,,,,,,,,,,,,,,1,,,
膜翅目,青條蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,冠蜂總科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,分舌蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,葉蜂科,,,,,,,,,2,,,,,,,,,,,1,,2,,
膜翅目,隧蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,蟻形蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,青蜂總科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,銀口蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,高背瘦蜂科,,,,,,,,,,,,,,,,,,,,,,,,
膜翅目,未分科,,,5,,2,,1,,,1,2,1,,,4,1,,,,,,1,5,
雙翅目,大蚊科,,,1,,,,1,,,,1,,,,,2,1,,,1,3,,,
雙翅目,原大蚊科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,搖蚊科,36,50,67,,,4,55,104,170,32,,673,34,175,90,80,,90,9,52,76,41,14,211
雙翅目,細蚊科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,細腰大蚊科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,網蚊科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,擬網蚊科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,冬大蚊科,,,,,,,,,,,,2,,,,,,,,1,,,1,3
雙翅目,蠓科,,,,,,,,,6,1,,2,,,16,,1,,,,2,2,4,1
雙翅目,蕈蚋科,,,,5,,,,2,17,35,3,11,,,5,39,14,,,7,2,13,12,
雙翅目,黑翅蕈蚋科,,,36,,4,,,1,151,16,20,21,,4,35,13,16,,,15,17,6,14,1
雙翅目,蚋科,,,2,,,,,,2,,,,,,5,7,,,,,,,27,
雙翅目,癭蚋科,1,,1,,,,,,7,4,,7,5,1,3,30,1,,,,2,15,2,1
雙翅目,毛蚋科,,,,5,,,,,,3,,12,,,,,,2,,,,,,4
雙翅目,偽毛蚋科,,,,,,,,,7,,,,,,,,,,,,18,,,
雙翅目,蚊蚋科,,,,,,,,,,,,,,,,,,,,1,,,,
雙翅目,山蚋科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,蛾蚋科,,,,,,,,,,2,,,,,,5,,,,1,1,1,2,
雙翅目,虻科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,花虻科,,,1,,,,,,,,,,,,,,,,,,,,,
雙翅目,水虻科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,舞虻科,,,2,2,4,,,,46,64,8,1,1,,20,136,3,,,2,89,11,3,1
雙翅目,鷸虻科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,長足虻科,,,,,,,,,,2,,,,,,,,,,,3,,,
雙翅目,劍虻科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,食蟲虻科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,麗蠅科,,,,,,,,,,,,,,,,,,,,,1,,,
雙翅目,尖翅蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,棘翅蠅科,,,,,,,,,,,,,,,,,,,,,,,,1
雙翅目,花蠅科,,,5,10,1,,,1,9,6,2,1,1,1,4,10,,,,2,8,10,1,
雙翅目,小花蠅科,,,,,,,,,,,,,,,,66,,,,,2,,,
雙翅目,擬花蠅科,1,,,,,,,,,1,,,,,,,,,,,1,,,
雙翅目,家蠅科,,1,4,1,4,,,,7,28,5,7,1,1,24,21,44,1,,,28,28,8,
雙翅目,肉蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,縞蠅科,7,,2,,4,,1,3,5,35,49,4,10,9,2,15,22,2,3,2,5,10,14,
雙翅目,蚤蠅科,,1,4,,,,,,63,5,7,13,,1,72,13,,,,,23,2,4,
雙翅目,食蚜蠅科,,,,,,,,,1,,,,,,,,,,,,1,,,
雙翅目,寄生蠅科,,,,,,,,,,,3,,,,1,,,,,,,,,
雙翅目,潛葉蠅科,1,,,,,,,,6,1,,1,,,2,3,,,,,5,,,
雙翅目,黃潛蠅科,,,,,,,,,,1,,,,,9,2,2,,,,2,2,6,
雙翅目,陽蠅科,,,,1,2,,,,,14,,1,,,,,,2,,,,,,
雙翅目,果蠅科,,2,4,,,,,,4,4,,1,,,24,6,2,,,,,15,1,
雙翅目,長室果蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,果實蠅科,,,1,,,,1,,1,5,,,,,,,,,,,,,,1
雙翅目,角蛹蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,扁腳蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,彎果蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,濱邊蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,豔細蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,沼蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,Trixoscelididae,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,蜣蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,酪蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,水蠅科,,,,,,,,,,,,,,,1,,,,,,1,,,
雙翅目,槍蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,細腐蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,大跗蠅科,,,,1,,,,,,1,,,,,,,,,,,7,,,
雙翅目,蚜小蠅科,,,,,,,,,16,1,,,,,,,,,,,,,,
雙翅目,葉蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,頭蠅科,,,,,,,,,,,,,,,1,1,,,,,,,1,
雙翅目,鱉蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,糞蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,奧蠅科,,,,,,,,,5,,,,,,,,,,,,,,,
雙翅目,鳥蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,金果蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,星蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,禾蠅科,,,,,,,,,,2,,,,,,,,,,,,,,
雙翅目,廣口蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,細果蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,大角小蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,樹洞蠅科,,,,,,,,,,,,,,,,,,,,,,,,
雙翅目,未分科,5,5,29,18,,,1,,2,5,,1,,,2,1,1,,,,1,2,2,
纓翅目,薊馬科,,14,12,1,,,33,38,22,5,1,14,12,25,14,23,8,21,2,38,,10,14,8
纓翅目,管薊馬科,,1,39,,,,,,,1,,,,3,2,6,1,2,,4,4,,3,
鞘翅目,象鼻蟲科,,,4,4,,,,,3,3,1,,,,,2,1,,,,,1,1,
鞘翅目,長象鼻蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,三錐象鼻蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,鋸齒象鼻蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,豆象科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,小蠹蟲科,,,,,,,,,,,3,,,1,,,,,,,,,1,
鞘翅目,長蠹科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,出尾蟲科,,,,,1,,,,,,,,,,,,,,,,,,,
鞘翅目,叩頭蟲科,,,2,,,,,,,,,,,,,,,,,,,,,
鞘翅目,偽叩頭蟲科,,,,,,,,,,,,,,,,,,,,,1,,,
鞘翅目,細腳叩頭蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,蟻塚蟲科,,,,,,,,,1,,,,,,,,,,,,,1,,
鞘翅目,泥蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,扁甲科,,,,2,,,,,,,,,,,,,,,,,,,,
鞘翅目,球甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,丸甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,姬薪蟲科,,,2,,3,,1,,,,,1,,,,,1,,,,,,1,
鞘翅目,球微蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,纓甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,隱翅蟲科,,,5,,,,,1,13,2,3,1,,2,2,6,7,,,,3,1,9,
鞘翅目,偽郭公蟲科,,,,,,,,,,,,2,,,,,,,,,,,,
鞘翅目,郭公蟲科,,,,,,,,1,3,2,,,,,,2,,,,,2,,,
鞘翅目,金花蟲科,,,1,2,1,,,,11,2,4,,,,3,2,5,,,,5,1,,
鞘翅目,擬金花蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,瓢蟲科,,,3,,,,,,2,2,,,,,,3,,,,,,,,
鞘翅目,偽瓢蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,天牛科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,偽天牛科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,菊虎科,,,75,,,,,,31,2,,3,,,14,4,,1,,,8,,,
鞘翅目,螢科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,紅螢科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,耀夜螢科,,,9,,,,,,,,,,,,,,,,,,1,,,
鞘翅目,微樹皮蟲科,,,1,,,,,,,,,,,,,,1,,,,,,,
鞘翅目,瑣微蟲科,,,13,,,,,,,2,,,,,,,4,,,,,,1,
鞘翅目,金龜子科,,,,,,,,,3,,,,,,,,,,,,3,,,
鞘翅目,閻魔蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,小花甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,蟻形蟲科,,,,,,,,,,,,,,,,3,,,,,,,,
鞘翅目,姬蕈甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,球蕈甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,背條蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,姬刺蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,圓花蚤科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,蘚苔蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,步行蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,擬步行蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,偽圓花蚤科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,花蚤科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,朽木蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,長朽木蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,食骸蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,隱食甲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,小蕈蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,細樹皮蟲科,,,,,,,,,,,,,,,,,,,,,,,,
鞘翅目,未分科,,,1,4,3,,,1,,,,,,1,1,,,1,,,1,1,2,
嚙目,叉嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,狹嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,離嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,雙嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,毛嚙蟲科,,3,37,,,,,,,,,,,,,,,,,,2,,,
嚙目,粗嚙科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,姬嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,外嚙蟲科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,鱗嚙科,,,,,,,,,,,,,,,,,,,,,,,,
嚙目,未分科,,,37,4,4,,1,14,54,34,17,18,2,3,16,26,10,3,,11,5,4,10,6
彈尾目,長角跳蟲科,19,18,135,,,,49,121,43,333,1,87,389,1227,54,3874,189,134,18,186,10,149,449,216
彈尾目,圓跳蟲科,313,134,8,,,,294,149,,,,765,1518,393,13,16,23,650,130,12,7,6,224,792
彈尾目,球角跳蟲科,,4,,,,,2,9,8,2,,6,16,20,10,13,6,146,13,17,,,31,
彈尾目,棘跳蟲科,,,,1,,,,,,,,,,,,,,,,,,,,
彈尾目,等節跳蟲科,,,,,,,,,,,2,,1,,,,,1,,3,,6,,1
彈尾目,未分科,,,,,,,,,,,,,,,,,,,,,,,,
脈翅目,粉蛉科,,,,,,,,,,,,,,,,,,,,,,,,
脈翅目,姬蛉科,,,1,,,,,,,1,,,,1,,,,,,,,,1,
脈翅目,草蛉科,,,,,,,,,,,,,,,,,,,,,,,,
脈翅目,櫛角蛉科,,,,,,,,,,,,,,,,,,,,,,,,
脈翅目,未分科,,,,,,,,,,1,,,,,,,1,,,,,,,
鱗翅目,尺蠖蛾科,3,,,,,,1,1,1,,,1,1,1,1,1,,,,,,1,3,2
鱗翅目,夜蛾科,,,,,,,,,,,,3,,,,,,,,,,,,
鱗翅目,毒蛾科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,斑毒蛾科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,弄蝶科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,羽蛾科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,Phalaenidae,,,,,,,,1,,,,,,,,,,,,,,,,
鱗翅目,冠潛蛾科,,,,,,,,1,,,,,,,,,,,,,,,,
鱗翅目,穀蛾科,,,,,,,,,,,,1,,,,,,,,,,,,
鱗翅目,避債蛾科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,擬穀蛾科,,,,,,,,,,,,,,,,,,,,,,,,
鱗翅目,未分科,4,2,5,4,2,,1,5,,5,3,1,4,1,3,12,2,2,6,3,2,6,2,2
直翅目,螽蟖科,,,,,,,,,,,,,,,,,,,,,,,,
直翅目,蝗科,,,,,,,,,,,,,,,,,,,,,,,,
直翅目,短角蝗科,,,,,,,,,,,,,,,,,,,,,,,,
直翅目,蟋螽科,,,,,,,,,,,,,,,,,,,,,,,,
直翅目,未分科,,,,,,,,,,,,,,,,,,,,,,,,
革翅目,蠼螋科,,1,,1,1,,,,,1,1,9,1,,1,,,,,,,,3,
革翅目,Labiidae,,,,,,,,,,,,,,,,,,,,,,,,
革翅目,未分科,,,,,,,,,,,,1,,,,,,,,,,,,
毛翅目,石蛾科,1,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,沼石蛾科,,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,絲口石蠶蛾科,,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,笠石蛾科,,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,等石蛾科,,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,姬石蛾科,,,,,,,,,,,,,,,,,,,,,,,,
毛翅目,未分科,,,,,,,,,4,,1,,,,,,,,,,,,,
襀翅目,短尾石蠅科,,,,,,,,,,,,,,,,,,,,,,,,
襀翅目,未分科,,,,,,,,,,,,,,,,,,,,,,,,
竹節蟲目,未分科,,,,,,,,,,,,,,,,,,,,,,,,
竹節蟲目,擬竹節蟲科,,,,,,,,,,,,,,,,,,,,,,,,
竹節蟲目,竹節蟲科,,,,,,,,,,,,,,,,,,,,,,,,
竹節蟲目,異竹節蟲科,,,,,,,,,,,,,,,,,,,,,,,,
長翅目,蠍蛉科,,,,,,,,,,,,,,,,,,,,,,,,
長翅目,未分科,,,,,,,,,,,,,,,,,,,,,,,,
纓尾目 Thysanura,石蛃科,,,,,,,,,,,,,,,,,,,,,,,,
